Country,Variable,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
A,var1,..,..,8000.01,8212.90,7847.36,7702.89,7288.48,6430.98,6932.45,7486.24,8094.17
A,var2,..,..,6.83,2.66,-4.45,-1.84,-5.38,-11.77,7.80,7.99,8.12
B,var1,18268.01,18738.99,19360.46,20151.42,20715.54,20866.90,21364.02,21801.41,22404.59,22676.26,23039.43
B,var2,2.87,2.58,3.32,4.09,2.80,0.73,2.38,2.05,2.77,1.21,1.60
C,var1,21088.14,21608.14,21988.64,22739.28,23436.61,24194.85,24300.57,24411.48,24650.02,25076.01,25346.01
C,var2,1.60,2.47,1.76,3.41,3.07,3.24,0.44,0.46,0.98,1.73,1.08
D,var1,313.74,321.36,331.76,342.12,351.70,365.33,377.15,386.26,398.86,415.96,432.63
D,var2,2.66,2.43,3.24,3.12,2.80,3.87,3.24,2.42,3.26,4.29,4.01
E,var1,21123.66,21659.55,22299.13,22972.31,23613.87,24150.86,24788.69,25368.87,25885.48,26582.19,26890.73
E,var2,2.69,2.54,2.95,3.02,2.79,2.27,2.64,2.34,2.04,2.69,1.16
F,var1,29941.64,30703.73,31716.04,32671.27,33748.21,34599.47,34483.98,34669.47,35312.75,36450.55,37267.33
F,var2,1.32,2.55,3.30,3.01,3.30,2.52,-0.33,0.54,1.86,3.22,2.24
G,var1,4891.60,5063.81,5328.88,5512.59,5647.06,5934.98,5864.12,5852.99,5872.29,6055.92,6162.84
G,var2,-7.86,3.52,5.23,3.45,2.44,5.10,-1.19,-0.19,0.33,3.13,1.77
